3713	88
1591	583
2426	197
2608	693
1895	797
3526	635
2811	639
2544	438
2096	701
3564	280
3266	617
4451	84
3852	397
4647	566
3826	341
2098	427
3515	225
1130	210
1739	753
3850	904
3897	143
2013	598
4374	386
3054	280
4226	259
1803	334
2900	876
3202	284
1408	837
3817	42
2684	323
2417	75
4511	236
3066	40
1685	712
4174	764
2016	187
3786	702
1958	353
3575	776
1796	121
1547	64
3003	906
2375	928
2056	869
3771	610
4321	885
3700	768
4342	204
3274	881
1802	811
1853	723
4096	129
4850	394
3761	642
3751	240
3582	821
3630	98
4176	464
3251	324
2043	928
2026	912
1548	84
4784	505
3970	129
4752	333
4095	544
2559	882
3110	900
1297	995
2436	526
2512	960
1401	446
3058	172
4359	636
4162	179
4119	118
1911	377
1083	910
3407	122
2743	75
1682	735
2061	598
1338	204
4378	156
4242	998
4273	799
1057	230
3122	798
3027	886
3861	809
2794	583
3188	698
4102	314
1324	891
1496	442
3615	964
2315	970
3231	118
2140	316
2172	474
2483	922
4392	198
1017	618
1294	71
3888	131
3971	981
4989	595
4483	217
1833	958
1212	869
3210	37
2614	408
3060	790
4622	582
4190	500
4336	732
4447	567
2373	250
2691	504
1423	569
4054	231
1739	981
1011	615
3006	82
2625	647
3300	621
3766	264
4002	947
4029	982
2428	422
4519	818
1991	2
1604	485
1200	1
4417	59
4873	506
4676	369
4897	362
3215	321
4629	199
4737	545
1847	90
4944	846
3181	115
4634	88
4654	798
1860	473
1379	990
2297	705
1296	347
4395	910
1747	995
1975	196
3103	903
3292	59
1521	158
3201	130
1375	10
3384	464
2073	601
3469	698
4640	129
3225	265
2434	311
1426	559
4255	63
1501	532
3961	771
2039	230
3197	430
3692	169
1918	464
4307	465
2985	620
3234	624
4448	808
4404	345
2049	342
3387	772
4188	399
3359	693
3386	279
4106	284
3737	89
2322	254
1900	668
1316	770
4890	789
3850	754
4329	614
2226	216
3251	683
2421	163
2914	366
2028	491
2766	855
1328	637
2976	681
2482	143
1466	178
2167	201
4852	871
3530	104
4847	148
4793	269
4872	343
1906	219
1638	252
4118	252
3725	983
1614	369
3087	42
3004	34
3461	52
4835	709
3378	991
4196	541
3708	655
4490	210
3234	313
4504	954
1590	666
2645	922
1937	505
4437	758
3613	954
2913	754
3829	906
1849	541
3831	575
1884	344
3850	548
1022	606
3413	588
2351	326
2264	345
3450	366
1300	23
1381	692
4936	792
3831	389
1995	187
4796	824
4839	645
1016	943
1123	604
4202	483
2700	764
2726	586
4774	957
4796	777
4383	55
1613	698
2214	460
3541	583
1932	392
3608	647
2458	556
3575	384
1175	365
4127	90
2826	949
3576	923
1490	321
3938	659
1294	94
4237	459
3841	931
1630	949
2213	841
3414	16
3716	636
1010	718
1389	865
3253	833
2385	330
4137	924
2873	382
3104	740
1324	653
4102	799
1338	869
4754	233
1187	97
4525	431
2035	533
4862	381
1920	457
4622	834
2821	473
4726	857
3916	945
4296	974
3404	410
2047	201
4844	633
1220	609
3915	354
3829	146
3699	26
4385	883
1008	783
4922	422
4466	949
2757	880
3015	632
2998	257
2431	942
4054	917
4963	526
4657	756
3619	909
1566	397
1149	157
4100	291
3278	980
2849	650
4455	678
2731	332
4431	191
3727	785
2404	92
4647	838
3322	898
4437	746
2007	477
4645	89
3950	591
4942	957
1756	49
2739	243
1899	616
4373	989
3046	185
2647	728
3392	315
2161	377
2442	150
3003	773
4284	144
2737	348
1023	223
3555	279
2576	51
1576	305
1447	659
2398	263
1978	334
1629	380
1912	680
1933	391
1129	275
3421	966
2811	197
1891	576
2069	365
4374	125
4659	685
4227	974
4938	668
3323	954
4716	64
2135	371
2748	60
3226	993
2974	118
4894	130
2158	75
3378	776
4709	415
2870	628
2420	348
1652	263
2246	426
4040	135
1797	221
1740	496
1737	641
3053	458
3489	282
2090	662
2596	4
1795	732
4670	648
3803	828
2002	798
3230	828
2622	817
2389	536
2630	323
4582	269
3490	573
1486	873
1143	79
1586	37
4923	928
2353	267
1223	713
4524	690
3800	83
1979	610
1027	395
1783	393
3650	1
1952	221
4547	813
1576	67
3059	288
4890	688
3421	697
3129	200
2557	931
3760	433
2016	847
1973	908
1629	774
2433	349
3452	444
4598	726
1673	364
2098	483
2747	123
1219	55
3775	510
3244	114
4299	82
3449	806
4833	544
1266	576
3369	763
2087	74
2518	294
3117	845
2070	966
1159	669
2634	400
1545	469
4538	600
4821	317
2215	322
3704	273
1241	371
1742	238
4182	138
3011	462
1898	2
3963	390
2888	130
3040	963
1480	328
1925	286
1486	472
3917	583
3730	777
3764	441
2358	322
2764	721
1031	705
1140	566
3155	299
3852	95
2636	827
1871	167
4093	28
2027	328
4451	690
1892	116
1296	569
2095	825
2162	279
2363	28
3337	773
2148	737
1879	601
4406	769
2856	921
4636	858
2417	714
3557	460
1196	356
4023	508
4601	71
4661	611
2243	776
1235	810
4012	380
2993	348
2553	354
3109	740
3785	225
1357	273
4928	771
4817	227
4064	498
3778	452
1348	898
3748	661
1739	776
2463	395
