25342	3713	0.168	1522966652				
42553	1591	-0.343	1523012778				
30040	2426	0.307	1522844665				
37892	2608	-0.160	1523601195				
47062	1895	-0.141	1523513249				
29243	3526	-0.284	1522869413				
19930	2811	0.297	1522555234				
45803	2544	0.455	1522865363				
36345	2096	-0.398	1523273344				
28728	3564	0.402	1522797073				
37892	3266	0.060	1523421073				
31685	4451	0.405	1522984939				
17552	3852	-0.889	1522824296				
27322	4647	-0.287	1523133363				
43733	3826	0.446	1522627927				
37892	2098	-0.141	1523053203				
37892	3515	0.188	1522751444				
31247	1130	0.952	1523314512				
45418	1739	-0.839	1522681611				
14398	3850	0.245	1522806915				
23161	3897	-0.452	1523164590				
14849	2013	0.098	1522762010				
42469	4374	0.891	1523564522				
37696	3054	0.248	1522655419				
48448	4226	-0.772	1523459923				
37892	1803	0.843	1522898694				
25836	2900	-0.620	1523112252				
44229	3202	0.463	1522625016				
14343	1408	0.641	1523063920				
15439	3817	-0.588	1523520275				
38284	2684	0.921	1522867649				
34262	2417	-0.186	1522824395				
22188	4511	-0.335	1523016610				
15627	3066	0.481	1523290124				
30035	1685	-0.320	1522619967				
45878	4174	-0.159	1522669329				
44865	2016	0.027	1523242458				
12731	3786	-0.083	1522547747				
38534	1958	0.715	1523661171				
19657	3575	0.484	1523314777				
42875	1796	0.316	1522605950				
45010	1547	-0.691	1523171851				
45091	3003	0.000	1523379749				
27573	2375	0.110	1523204359				
47059	2056	-0.034	1523658647				
37892	3771	0.162	1522940373				
23028	4321	0.083	1522584262				
37892	3700	0.450	1522700330				
10934	4342	-0.101	1522647462				
37892	3274	0.216	1522634366				
41804	1802	-0.195	1522982202				
37892	1853	0.342	1522600454				
34155	4096	-0.552	1523527703				
11541	4850	0.969	1522833717				
28139	3761	-0.844	1522834604				
44593	3751	0.954	1523192943				
17738	3582	-0.512	1523674797				
39993	3630	-0.986	1523657464				
32091	4176	0.789	1523073485				
14778	3251	-0.738	1523105373				
38534	2043	0.177	1523499880				
25751	2026	-0.624	1522847353				
42495	1548	0.820	1523171461				
38534	4784	-0.209	1523161167				
22867	3970	0.732	1522755962				
35565	4752	-0.702	1523661192				
37057	4095	-0.118	1523514641				
39993	2559	0.882	1522693524				
47274	3110	-0.529	1523006494				
29629	1297	0.586	1523366577				
36165	2436	-0.076	1523698633				
13299	2512	0.563	1523438831				
32576	1401	-0.612	1522896501				
39993	3058	0.553	1522704712				
28399	4359	-0.577	1523487671				
10918	4095	-0.657	1522896341				
15828	4119	0.070	1523600989				
21483	1911	-0.140	1523220908				
37711	1083	0.191	1523319643				
30598	3407	-0.075	1523600849				
46530	2743	0.283	1522806808				
39993	1682	-0.715	1522648541				
38534	2061	0.643	1522571185				
31207	4095	-0.372	1523115805				
13549	4378	-0.298	1522982013				
